Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,125",15510,1632,"1,120"
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,133",13209,1454,"1,133"
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,144",13289,1328,"1,144"
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat B (Cars above 1600cc or 97kW),"1,172",15989,1556,"1,164"
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,271",13001,1460,"1,268"
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,301",12000,1446,"1,298"
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,272",12152,1449,"1,267"
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,272",6002,1382,"1,269"
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,274",13502,2248,"1,250"
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,272",14652,1840,"1,266"
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,149",14889,1720,"1,149"
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,130",15989,1587,"1,127"
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125",17879,1811,"1,118"
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,127",18900,1679,"1,105"
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,132",19802,1679,"1,114"
June 2007 Second Open Bidding Exercise,15/06/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,146",18891,1460,"1,137"
July 2007 First Open Bidding Exercise,1/7/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,143",17399,1364,"1,143"
July 2007 Second Open Bidding Exercise,15/07/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,133",17602,1393,"1,133"
August 2007 First Open Bidding Exercise,1/8/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125",18001,1458,"1,114"
August 2007 Second Open Bidding Exercise,15/08/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,124",16010,1288,"1,124"
September 2007 First Open Bidding Exercise,1/9/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,136",18200,1594,"1,136"
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125",19589,1581,"1,117"
October 2007 First Open Bidding Exercise,1/10/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125",17102,1409,"1,125"
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,133",17589,1370,"1,132"
November 2007 First Open Bidding Exercise,1/11/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125",18001,1438,"1,087"
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,126",16401,1339,"1,126"
December 2007 First Open Bidding Exercise,1/12/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,163",13114,1334,"1,116"
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat B (Cars above 1600cc or 97kW),"1,125",15802,1578,"1,106"
January 2006 First Open Bidding Exercise,1/1/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,277",11602,1876,"1,277"
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,275",9603,1483,"1,266"
February 2006 First Open Bidding Exercise,1/2/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,265",9501,1726,"1,262"
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,274",10489,1866,"1,271"
March 2006 First Open Bidding Exercise,1/3/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,268",12555,1926,"1,268"
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,267",13556,1830,"1,265"
April 2006 First Open Bidding Exercise,1/4/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,084",13402,1420,"1,079"
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,086",13101,1299,"1,079"
May 2006 First Open Bidding Exercise,1/5/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,089",11519,1293,"1,077"
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,091",11801,1337,"1,087"
June 2006 First Open Bidding Exercise,1/6/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,096",12200,1426,"1,096"
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,088",11001,1256,"1,084"
July 2006 First Open Bidding Exercise,1/7/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,084",10801,1240,"1,084"
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,089",10600,1332,"1,089"
August 2006 First Open Bidding Exercise,1/8/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,084",12501,1365,"1,064"
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,085",13890,1406,"1,084"
September 2006 First Open Bidding Exercise,1/9/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,104",14701,1448,"1,101"
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,086",14399,1440,"1,086"
October 2006 First Open Bidding Exercise,1/10/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,272",12501,1496,"1,253"
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,269",12989,1530,"1,269"
November 2006 First Open Bidding Exercise,1/11/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,288",13811,1683,"1,288"
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,269",14509,1696,"1,266"
December 2006 First Open Bidding Exercise,1/12/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,269",14389,1521,"1,267"
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat B (Cars above 1600cc or 97kW),"1,272",12889,1413,"1,240"
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,139",14002,1311,"1,139"
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,148",19502,1834,"1,145"
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,137",16533,1450,"1,137"
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,140",16891,1443,"1,137"
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,137",21710,1656,"1,134"
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,140",18001,1355,"1,133"
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,103",16110,1367,"1,103"
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,107",17701,1357,"1,107"
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,100",16508,1339,"1,087"
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,100",16108,1322,"1,087"
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,113",16002,1346,"1,099"
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,113",15001,1299,"1,099"
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,114",15501,1374,"1,102"
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,114",16501,1414,"1,113"
August 2005 First Open Bidding Exercise,1/8/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,112",15889,1318,"1,103"
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,101",16303,1412,"1,093"
September 2005 First Open Bidding Exercise,1/9/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,109",16889,1484,"1,086"
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,108",14808,1270,"1,106"
October 2005 First Open Bidding Exercise,1/10/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,288",11002,1485,"1,288"
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,267",14101,2046,"1,250"
November 2005 First Open Bidding Exercise,1/11/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,265",14751,2086,"1,263"
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,282",14897,1692,"1,276"
December 2005 First Open Bidding Exercise,1/12/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,267",13301,1499,"1,255"
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat B (Cars above 1600cc or 97kW),"1,271",9001,1386,"1,261"
January 2004 First Open Bidding Exercise,1/1/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,158",24293,1516,"1,158"
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,160",22002,1468,"1,154"
February 2004 First Open Bidding Exercise,1/2/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,156",23508,1474,"1,149"
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,162",22001,1404,"1,158"
March 2004 First Open Bidding Exercise,1/3/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,163",25699,1516,"1,147"
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,160",25058,1445,"1,153"
April 2004 First Open Bidding Exercise,1/4/2004,2004,Cat B (Cars above 1600cc or 97kW),949,28001,1350,948
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat B (Cars above 1600cc or 97kW),939,28022,1347,939
May 2004 First Open Bidding Exercise,1/5/2004,2004,Cat B (Cars above 1600cc or 97kW),934,26700,1192,930
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat B (Cars above 1600cc or 97kW),932,27990,1175,932
June 2004 First Open Bidding Exercise,1/6/2004,2004,Cat B (Cars above 1600cc or 97kW),937,30300,1374,930
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat B (Cars above 1600cc or 97kW),932,30400,1217,932
July 2004 First Open Bidding Exercise,1/7/2004,2004,Cat B (Cars above 1600cc or 97kW),940,28990,1154,933
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat B (Cars above 1600cc or 97kW),932,27001,1107,915
August 2004 First Open Bidding Exercise,1/8/2004,2004,Cat B (Cars above 1600cc or 97kW),940,27086,1095,938
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat B (Cars above 1600cc or 97kW),949,26301,1065,947
September 2004 First Open Bidding Exercise,1/9/2004,2004,Cat B (Cars above 1600cc or 97kW),934,27799,1214,926
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat B (Cars above 1600cc or 97kW),934,26101,1129,934
October 2004 First Open Bidding Exercise,1/10/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,145",23001,1505,"1,145"
October 2004 Second Open Bidding Exercise,15/10/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,137",23005,1434,"1,137"
November 2004 First Open Bidding Exercise,1/11/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,137",21301,1323,"1,131"
November 2004 Second Open Bidding Exercise,15/11/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,137",20300,1326,"1,135"
December 2004 First Open Bidding Exercise,1/12/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,143",21302,1402,"1,141"
December 2004 Second Open Bidding Exercise,15/12/2004,2004,Cat B (Cars above 1600cc or 97kW),"1,139",18708,1270,"1,128"
January 2003 First Open Bidding Exercise,1/1/2003,2003,Cat B (Cars above 1600cc or 97kW),707,29099,1128,707
January 2003 Second Open Bidding Exercise,15/01/2003,2003,Cat B (Cars above 1600cc or 97kW),662,25028,919,661
February 2003 First Open Bidding Exercise,1/2/2003,2003,Cat B (Cars above 1600cc or 97kW),663,33657,1342,656
February 2003 Second Open Bidding Exercise,15/02/2003,2003,Cat B (Cars above 1600cc or 97kW),663,30699,1148,659
March 2003 First Open Bidding Exercise,1/3/2003,2003,Cat B (Cars above 1600cc or 97kW),670,27999,965,663
March 2003 Second Open Bidding Exercise,15/03/2003,2003,Cat B (Cars above 1600cc or 97kW),666,26001,944,640
April 2003 First Open Bidding Exercise,1/4/2003,2003,Cat B (Cars above 1600cc or 97kW),919,26601,1790,917
April 2003 Second Open Bidding Exercise,15/04/2003,2003,Cat B (Cars above 1600cc or 97kW),938,27058,1762,935
May 2003 First Open Bidding Exercise,1/5/2003,2003,Cat B (Cars above 1600cc or 97kW),914,28589,1788,913
May 2003 Second Open Bidding Exercise,15/05/2003,2003,Cat B (Cars above 1600cc or 97kW),915,31400,1592,913
June 2003 First Open Bidding Exercise,1/6/2003,2003,Cat B (Cars above 1600cc or 97kW),913,31501,1448,908
June 2003 Second Open Bidding Exercise,15/06/2003,2003,Cat B (Cars above 1600cc or 97kW),914,31505,1281,908
July 2003 First Open Bidding Exercise,1/7/2003,2003,Cat B (Cars above 1600cc or 97kW),917,32779,1359,917
July 2003 Second Open Bidding Exercise,15/07/2003,2003,Cat B (Cars above 1600cc or 97kW),918,31889,1209,885
August 2003 First Open Bidding Exercise,1/8/2003,2003,Cat B (Cars above 1600cc or 97kW),912,31001,1159,905
August 2003 Second Open Bidding Exercise,15/08/2003,2003,Cat B (Cars above 1600cc or 97kW),945,29900,1171,942
September 2003 First Open Bidding Exercise,1/9/2003,2003,Cat B (Cars above 1600cc or 97kW),919,28001,1163,901
September 2003 Second Open Bidding Exercise,15/09/2003,2003,Cat B (Cars above 1600cc or 97kW),915,30048,1344,908
October 2003 First Open Bidding Exercise,1/10/2003,2003,Cat B (Cars above 1600cc or 97kW),"1,175",28199,1565,"1,172"
October 2003 Second Open Bidding Exercise,15/10/2003,2003,Cat B (Cars above 1600cc or 97kW),"1,163",27989,1374,"1,162"
November 2003 First Open Bidding Exercise,1/11/2003,2003,Cat B (Cars above 1600cc or 97kW),"1,160",26001,1368,"1,136"
November 2003 Second Open Bidding Exercise,15/11/2003,2003,Cat B (Cars above 1600cc or 97kW),"1,157",25481,1344,"1,157"
December 2003 First Open Bidding Exercise,1/12/2003,2003,Cat B (Cars above 1600cc or 97kW),"1,181",24112,1401,"1,180"
December 2003 Second Open Bidding Exercise,15/12/2003,2003,Cat B (Cars above 1600cc or 97kW),"1,156",22295,1295,"1,152"
April 2002 First Open Bidding Exercise,1/4/2002,2002,Cat B (Cars above 1600cc or 97kW),558,39509,1119,551
April 2002 Second Open Bidding Exercise,15/04/2002,2002,Cat B (Cars above 1600cc or 97kW),553,42101,1104,553
May 2002 First Open Bidding Exercise,1/5/2002,2002,Cat B (Cars above 1600cc or 97kW),560,40001,1043,518
May 2002 Second Open Bidding Exercise,15/05/2002,2002,Cat B (Cars above 1600cc or 97kW),552,38001,894,541
June 2002 First Open Bidding Exercise,1/6/2002,2002,Cat B (Cars above 1600cc or 97kW),595,33001,885,569
June 2002 Second Open Bidding Exercise,15/06/2002,2002,Cat B (Cars above 1600cc or 97kW),563,32499,888,554
July 2002 First Open Bidding Exercise,1/7/2002,2002,Cat B (Cars above 1600cc or 97kW),579,31583,946,577
July 2002 Second Open Bidding Exercise,15/07/2002,2002,Cat B (Cars above 1600cc or 97kW),561,30008,850,553
August 2002 First Open Bidding Exercise,1/8/2002,2002,Cat B (Cars above 1600cc or 97kW),555,31889,1149,555
August 2002 Second Open Bidding Exercise,15/08/2002,2002,Cat B (Cars above 1600cc or 97kW),560,32001,873,543
September 2002 First Open Bidding Exercise,1/9/2002,2002,Cat B (Cars above 1600cc or 97kW),553,31617,715,553
September 2002 Second Open Bidding Exercise,15/09/2002,2002,Cat B (Cars above 1600cc or 97kW),569,28009,756,569
October 2002 First Open Bidding Exercise,1/10/2002,2002,Cat B (Cars above 1600cc or 97kW),553,31795,917,553
October 2002 Second Open Bidding Exercise,15/10/2002,2002,Cat B (Cars above 1600cc or 97kW),552,30811,850,551
November 2002 First Open Bidding Exercise,1/11/2002,2002,Cat B (Cars above 1600cc or 97kW),663,27667,866,663
November 2002 Second Open Bidding Exercise,15/11/2002,2002,Cat B (Cars above 1600cc or 97kW),663,28001,879,597
December 2002 First Open Bidding Exercise,1/12/2002,2002,Cat B (Cars above 1600cc or 97kW),663,27289,822,619
December 2002 Second Open Bidding Exercise,15/12/2002,2002,Cat B (Cars above 1600cc or 97kW),728,23890,977,728
January 2022 Second Open Bidding Exercise,19/01/2022,2022,Cat C (Goods vehicles and buses),91,43001,149,91
January 2022 First Open Bidding Exercise,5/1/2022,2022,Cat C (Goods vehicles and buses),90,42200,198,87
December 2021 Second Open Bidding Exercise,22/12/2021,2021,Cat C (Goods vehicles and buses),90,44000,150,89
December 2021 First Open Bidding Exercise,8/12/2021,2021,Cat C (Goods vehicles and buses),93,45000,147,93
November 2021 Second Open Bidding Exercise,17/11/2021,2021,Cat C (Goods vehicles and buses),91,43502,164,91
November 2021 First Open Bidding Exercise,3/11/2021,2021,Cat C (Goods vehicles and buses),92,42001,173,89
October 2021 Second Open Bidding Exercise,20/10/2021,2021,Cat C (Goods vehicles and buses),126,40501,252,125
October 2021 First Open Bidding Exercise,6/10/2021,2021,Cat C (Goods vehicles and buses),125,38890,233,123
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat C (Goods vehicles and buses),120,39000,203,110
September 2021 First Open Bidding Exercise,8/9/2021,2021,Cat C (Goods vehicles and buses),122,40001,211,113
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat C (Goods vehicles and buses),118,40010,220,113
August 2021 First Open Bidding Exercise,4/8/2021,2021,Cat C (Goods vehicles and buses),118,42589,233,111
July 2021 Second Open Bidding Exercise,22/07/2021,2021,Cat C (Goods vehicles and buses),166,39523,337,163
July 2021 First Open Bidding Exercise,7/7/2021,2021,Cat C (Goods vehicles and buses),162,38900,340,159
June 2021 Second Open Bidding Exercise,23/06/2021,2021,Cat C (Goods vehicles and buses),238,37000,478,229
June 2021 First Open Bidding Exercise,9/6/2021,2021,Cat C (Goods vehicles and buses),195,37002,413,190
May 2021 Second Open Bidding Exercise,19/05/2021,2021,Cat C (Goods vehicles and buses),164,41701,315,83
May 2021 First Open Bidding Exercise,5/5/2021,2021,Cat C (Goods vehicles and buses),157,43001,261,119
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat C (Goods vehicles and buses),262,44001,441,256
April 2021 First Open Bidding Exercise,7/4/2021,2021,Cat C (Goods vehicles and buses),263,36134,488,263
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat C (Goods vehicles and buses),292,39589,507,286
March 2021 First Open Bidding Exercise,3/3/2021,2021,Cat C (Goods vehicles and buses),255,37513,480,248
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat C (Goods vehicles and buses),259,40890,424,223
February 2021 First Open Bidding Exercise,3/2/2021,2021,Cat C (Goods vehicles and buses),276,45001,510,276
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat C (Goods vehicles and buses),372,35900,679,352
January 2021 First Open Bidding Exercise,6/1/2021,2021,Cat C (Goods vehicles and buses),372,35900,679,352
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat C (Goods vehicles and buses),369,35201,640,355
