,total_lots,lots_available
1679,360,153
1680,340,156
1681,974,428
1682,746,236
1683,272,182
1684,448,277
1685,499,282
1686,98,25
1687,280,155
1688,496,191
1689,267,115
1690,546,392
1691,421,309
1692,292,151
1693,482,383
1694,251,68
1695,373,192
1696,26,0
1697,303,151
1698,217,47
1699,496,316
1700,411,201
1701,850,620
1703,1209,568
1704,650,375
1705,283,254
1706,866,549
1707,199,47
1708,607,297
1709,854,520
1710,1064,678
1711,625,430
1712,38,0
1713,899,512
1714,304,110
1715,470,210
1716,537,209
1717,855,403
1719,5,3
1720,173,141
1721,99,47
1722,487,233
1723,890,563
1724,560,175
1725,424,278
1726,185,146
1727,140,114
1729,331,78
1730,222,137
1731,248,138
1732,605,309
1733,655,307
1734,660,444
1735,711,451
1736,360,235
1737,374,179
1738,170,38
1739,399,124
1740,434,203
1741,169,1
1742,346,179
1743,45,17
1744,171,23
1745,53,25
1746,485,296
1747,6,0
1748,321,209
1749,190,46
1750,182,125
1751,3,1
1752,227,182
1753,613,554
1754,17,1
1755,17,6
1756,336,335
1757,852,807
1758,616,592
1759,100,0
1760,500,500
1761,662,392
1762,67,11
1763,608,330
1764,361,212
1765,322,133
1766,248,64
1767,26,0
1768,79,0
1769,558,212
1770,850,403
1771,266,78
1772,380,233
1773,8,0
1774,731,328
1775,404,133
1776,350,159
1777,756,489
1778,450,134
1779,200,97
1780,556,200
1781,34,2
1782,465,240
1783,752,269
1784,957,372
1785,164,53
1786,165,30
1788,935,654
1789,167,66
1790,464,259
1791,492,254
1792,680,360
1793,1004,400
1794,467,301
1795,303,178
1796,360,133
1797,1070,421
1798,456,227
1799,390,234
1800,388,233
1801,350,195
1802,1248,674
1803,423,242
1804,470,249
1805,920,686
1806,289,175
1807,422,241
1808,263,134
1809,372,0
1810,429,167
1811,18,0
1812,192,118
1813,889,450
1814,815,304
1815,474,325
1816,24,0
1817,333,138
1818,361,201
1819,699,285
1821,117,0
1822,538,240
1823,483,192
1824,362,157
1825,316,173
1826,423,308
1827,126,80
1828,501,261
1829,382,198
1830,333,176
1831,322,148
1832,313,191
1833,719,395
1834,273,156
1835,279,138
1836,666,410
1837,263,165
1838,2,1
1839,423,235
1840,216,110
1841,2,0
1842,552,335
1843,1063,529
1844,869,486
1845,400,192
1846,471,276
1847,751,478
1848,413,239
1849,446,272
1850,32,9
1851,200,75
1852,452,265
1853,391,153
1854,425,240
1855,540,299
1856,762,408
1857,379,243
1858,379,327
1859,421,188
1860,395,244
1861,3,0
1862,8,3
1863,4,4
1864,85,0
1865,83,13
1866,98,51
1867,305,208
1868,200,124
1869,235,187
1870,139,107
1871,402,95
1872,282,0
1873,631,419
1874,278,126
1875,258,123
1876,549,312
1877,467,123
1878,72,24
1879,768,363
1880,333,264
1881,544,147
1882,171,109
1883,1000,991
1884,960,452
1885,10,3
1886,361,192
1887,102,69
1888,488,245
1889,21,9
1890,964,669
1891,770,479
1892,758,455
1893,460,258
1894,590,315
1895,27,0
1897,505,293
1898,515,283
1899,318,229
1900,59,15
1901,226,72
1902,124,86
1903,622,315
1904,44,0
1905,414,252
1906,10,3
1907,6,1
1908,303,264
1909,135,84
1910,250,159
1911,290,238
1912,178,155
1913,212,8
1914,316,166
1915,167,51
1916,270,150
1917,390,289
1918,12,5
1919,416,233
1920,443,249
1921,84,77
1922,30,20
1923,465,286
1924,805,566
1925,202,116
1926,90,19
1927,770,416
1928,81,1
1929,257,125
1930,30,0
1931,71,69
1932,77,54
1933,5,2
1934,85,47
1935,716,313
1936,282,161
1937,119,39
1938,350,192
1939,22,0
1940,20,1
1941,389,229
1942,63,34
1943,290,182
1944,64,0
1945,300,197
1946,0,0
1947,38,18
1948,406,149
1949,341,205
1950,13,0
1951,278,84
1953,1129,562
1954,648,273
1955,619,218
1956,10,0
1957,333,175
1958,665,444
1959,6,0
1960,306,106
1961,195,111
1962,229,150
