,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
1169,40496.5258,39820.0373,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13.0,1.9,N
1170,40316.681,39541.0967,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,1.9,N
1171,40606.3885,39551.3513,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.0,N
1172,40736.5955,39633.1743,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N
1173,40247.7753,39924.3544,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N
1174,42201.9401,39312.6071,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13.0,1.9,N
1175,40114.6224,39748.7266,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,10.0,1.9,N
1176,39883.2972,40142.5172,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.0,N
1177,39858.5997,39896.3925,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.0,N
1178,39728.975,39998.0806,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11.0,2.0,N
1179,39721.1068,40304.2524,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N
1180,39546.2838,40486.3671,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N
1181,39429.3197,40431.9844,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N
1182,39565.4411,40102.7854,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N
1183,42258.6513,39567.5489,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N
1184,39358.5759,39992.2049,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,11.0,2.0,N
1185,39214.3187,40090.5883,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9.0,2.0,N
1186,39108.47,39913.5495,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9.0,2.0,N
1187,39126.6463,39773.0358,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9.0,2.0,N
1188,39416.5981,39622.2609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N
1189,39692.8318,39469.9703,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,8.0,2.0,N
1190,42388.3371,39530.4506,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N
1191,42477.8773,39204.2227,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,1.9,N
1192,42459.8111,38843.4823,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8.0,1.9,N
1193,42126.5924,39294.429,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N
1194,42233.462,38924.6687,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9.0,2.0,N
1195,31994.78,35133.03,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N
1196,31643.1687,34986.5402,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1197,31619.7981,35088.4721,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1198,31650.3687,35213.5248,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1199,31328.03,35388.25,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1200,31816.7963,34942.7097,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N
1201,31643.7896,34932.8598,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1202,28996.2194,29764.092,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7.0,2.15,N
1203,41857.2031,39071.4559,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9.0,1.86,N
1204,42134.4478,38894.2762,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0.0,0.0,N
1205,41875.5357,38818.4836,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N
1206,41784.5801,39526.9469,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1207,42030.2409,39606.4261,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,4.5,N
1208,41283.8272,38971.2519,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N
1209,40942.8203,39055.5703,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N
1210,41151.375,38747.043,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,9.99,N
1211,41590.9705,38812.1621,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,4.5,N
1212,41064.8727,39231.0631,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,4.5,N
1213,41488.2976,39437.995,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,0.0,N
1214,41554.7014,39169.7008,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,4.5,N
1215,41830.3635,39044.8529,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1216,41840.49,39225.13,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0.0,0.0,N
1217,42050.749,39253.7168,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0.0,9.99,N
1218,41926.2439,39467.9453,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0.0,0.0,N
1219,36202.3912,42357.2043,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7.0,2.15,N
1220,18544.4873,33717.7282,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1221,18526.4824,33647.3125,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,4.5,N
1222,18772.8516,33660.8789,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
1223,18635.6875,33513.0954,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0.0,0.0,N
