max_floor_lvl,year_completed,residential,commercial,market_hawker,multistorey_carpark,bldg_contract_town,total_dwelling_units,one_room_sold,two_room_sold,three_room_sold,four_room_sold,five_room_sold
24,1974,TRUE,FALSE,FALSE,FALSE,BM,270,0,0,264,0,6
4,2005,FALSE,FALSE,TRUE,TRUE,HG,0,0,0,0,0,0
12,1967,TRUE,TRUE,FALSE,FALSE,BM,324,0,0,0,0,0
9,1983,TRUE,FALSE,FALSE,FALSE,KWN,72,0,0,0,0,0
12,1982,TRUE,FALSE,FALSE,FALSE,JE,98,0,0,0,98,0
4,1988,TRUE,FALSE,FALSE,FALSE,BD,8,0,0,0,0,0
10,1967,TRUE,FALSE,FALSE,FALSE,TP,160,0,0,0,0,0
11,1988,TRUE,FALSE,FALSE,FALSE,PRC,120,0,0,0,68,52
16,1984,TRUE,FALSE,FALSE,FALSE,TP,178,0,0,152,26,0
17,1997,TRUE,FALSE,FALSE,FALSE,SK,78,0,0,0,60,18
13,1983,TRUE,FALSE,FALSE,FALSE,SGN,120,0,0,120,0,0
4,1987,TRUE,FALSE,FALSE,FALSE,TAP,32,0,0,0,0,0
25,1976,TRUE,FALSE,FALSE,FALSE,BM,94,0,0,0,0,92
11,1982,TRUE,FALSE,FALSE,FALSE,TAP,119,0,0,78,40,0
12,1987,TRUE,FALSE,FALSE,FALSE,CCK,132,0,0,65,66,0
25,1984,TRUE,FALSE,FALSE,FALSE,KWN,275,0,0,120,155,0
13,1984,TRUE,TRUE,FALSE,FALSE,WL,111,0,0,0,111,0
1,1984,FALSE,FALSE,TRUE,FALSE,YS,0,0,0,0,0,0
17,2019,TRUE,TRUE,FALSE,FALSE,TP,64,0,0,0,28,36
21,2016,TRUE,FALSE,FALSE,FALSE,BM,160,0,0,80,80,0
17,2001,TRUE,FALSE,FALSE,FALSE,PG,85,0,0,0,28,57
1,2003,FALSE,FALSE,FALSE,FALSE,BM,0,0,0,0,0,0
17,2019,TRUE,FALSE,FALSE,FALSE,TP,92,0,0,0,54,38
1,2017,FALSE,FALSE,FALSE,FALSE,BM,0,0,0,0,0,0
17,2001,TRUE,FALSE,FALSE,FALSE,PG,85,0,0,0,28,57
17,2001,TRUE,FALSE,FALSE,FALSE,PG,85,0,0,0,28,57
17,2001,TRUE,FALSE,FALSE,FALSE,PG,85,0,0,0,28,57
12,1978,TRUE,TRUE,FALSE,FALSE,GL,194,0,0,167,22,4
11,1977,TRUE,FALSE,FALSE,FALSE,AMK,138,0,0,115,20,2
13,1977,TRUE,FALSE,FALSE,FALSE,BD,168,0,34,0,0,0
12,1985,TRUE,FALSE,FALSE,FALSE,BD,110,0,0,0,110,0
13,1985,TRUE,TRUE,FALSE,FALSE,BH,96,0,0,0,96,0
3,2019,FALSE,TRUE,FALSE,TRUE,TP,0,0,0,0,0,0
8,1984,TRUE,FALSE,FALSE,FALSE,BB,100,0,0,0,100,0
13,1983,TRUE,FALSE,FALSE,FALSE,BM,123,0,0,51,72,0
10,1964,TRUE,FALSE,FALSE,FALSE,QT,99,0,0,0,0,0
4,2016,FALSE,FALSE,FALSE,TRUE,SB,0,0,0,0,0,0
4,1985,FALSE,TRUE,FALSE,FALSE,CL,0,0,0,0,0,0
10,1986,TRUE,FALSE,FALSE,FALSE,BP,90,0,0,54,36,0
14,1973,TRUE,TRUE,FALSE,FALSE,BM,130,0,0,0,130,0
4,1982,TRUE,TRUE,FALSE,FALSE,HG,51,0,0,41,9,0
9,1980,TRUE,FALSE,FALSE,FALSE,KWN,97,0,0,0,97,0
12,1967,TRUE,FALSE,FALSE,FALSE,BM,330,0,0,0,0,0
10,1983,TRUE,FALSE,FALSE,FALSE,KWN,68,0,0,0,0,0
25,1982,TRUE,TRUE,FALSE,FALSE,JE,96,0,0,0,0,96
9,1988,TRUE,FALSE,FALSE,FALSE,BD,43,0,0,0,0,0
10,1967,TRUE,FALSE,FALSE,FALSE,TP,158,0,0,0,0,0
13,1988,TRUE,FALSE,FALSE,FALSE,PRC,96,0,0,0,54,42
4,1983,TRUE,FALSE,FALSE,FALSE,TP,38,0,0,36,0,0
1,2002,FALSE,FALSE,FALSE,FALSE,PG,0,0,0,0,0,0
17,1998,TRUE,FALSE,FALSE,FALSE,SK,78,0,0,0,60,18
12,1983,TRUE,FALSE,FALSE,FALSE,SGN,131,0,0,130,0,1
11,1987,TRUE,FALSE,FALSE,FALSE,TAP,100,0,0,0,64,36
25,1976,TRUE,FALSE,FALSE,FALSE,BM,94,0,0,0,0,92
11,1983,TRUE,FALSE,FALSE,FALSE,TAP,80,0,0,0,12,68
12,1987,TRUE,FALSE,FALSE,FALSE,CCK,110,0,0,66,44,0
11,1983,TRUE,FALSE,FALSE,FALSE,KWN,80,0,0,0,40,40
4,1984,TRUE,FALSE,FALSE,FALSE,WL,16,0,0,8,8,0
4,1984,TRUE,TRUE,FALSE,FALSE,YS,60,0,0,54,4,0
17,2019,TRUE,TRUE,FALSE,FALSE,TP,107,0,0,0,62,45
15,2016,TRUE,FALSE,FALSE,FALSE,SB,252,0,0,0,0,0
25,1998,TRUE,FALSE,FALSE,FALSE,BM,96,0,0,0,48,48
2,1972,FALSE,TRUE,FALSE,FALSE,BM,0,0,0,0,0,0
